Presentación (gr),Nombre del Producto,Tipo
1000,BOLA DE CERVEZA XICO,Otro
1000,CHARLOTTE SALCHICHA DE POLLO JUMBO KG,Salchicha
1000,CHORIZO AHUMADO ESPAÑOL,Chorizo
1000,CHORIZO ARGENTINO,Chorizo
1000,CHORIZO DE CERDO XICO,Chorizo
1000,CHULETA AHUMADA REBANADA GRANEL,Carne
1000,COSTILLA ADOBADA CARGADA,Carne
1000,COSTILLA ADOBADA SENCILLA,Carne
1000,COSTILLA AHUMADA ADOBADA,Carne
1000,CUERITOS XICO DE CERDO EN VINAGRE,Cueros
1000,DEL MANTEL JAMON VIRGINIA DE PAVO,Jamón
800,DEL MANTEL SALCHICHA PARA ASAR 800GR,Salchicha
1000,DEL MANTEL SALCHICHA POLACA,Salchicha
400,EMBUTIDO PARA TACOS DISCADA KG,Otro
1000,ENCURTIDOS XICO CUERITOS Y SALCHICHAS...,Salchicha
1000,JAMON DE PAVO (CUADRADO),Jamón
1000,JAMÓN HORNEADO REBANADO,Jamón
1000,JAMON TOBY AMERICANO CERDO Y PAVO KG,Jamón
1000,JAMON TOBY PAVO KG,Jamón
1000,JAMON TOBY PAVO VIRGINIA KG,Jamón
1000,JAMÓN WINDSOR PECHUGA NATURAL KG,Jamón
1000,JAMÓN XICO AMERICANO PAVO Y CERDO KG,Jamón
1000,JAMÓN XICO EMBUTIDO TACOS PASTOR KG,Jamón
1000,JAMON XICO PAVO AMERICANO KG,Jamón
1000,JAMON XICO PAVO KG,Jamón
1000,JAMÓN XICO SELVA NEGRA,Jamón
1000,JAMÓN XICO VIRGINIA DE PAVO KG,Jamón
1000,JAMON XICO VIRGINIA KG,Jamón
1000,JAMON XICO YORK PIERNA DE CERDO KG,Jamón
1000,LOMO XICO AHUMADO,Carne
1000,LONGANIZA DE CERDO XICO,Chorizo
500,LONGANIZA WINDSOR CERDO 500G,Chorizo
1000,MORTADELA XICO,Mortadela
1000,PASTEL XICO PIMIENTO KG,Otro
1000,PEPERONI WINDSOR,Peperoni
1000,PIERNA AL HORNO,Carne
1000,PIERNA XICO CERDO AHUMADA,Carne
1000,QUESO DE PUERCO XICO,Queso
1000,SALCHICHA DE PAVO AL PASTOR,Salchicha
1000,SALCHICHA DE PAVO JUMBO,Salchicha
1000,SALCHICHA DE PAVO XICO,Salchicha
1000,SALCHICHA HOT DOG XICO,Salchicha
1000,SALCHICHA TOBY HOT DOG KG,Salchicha
1000,SALCHICHA TOBY PARA ASAR KG,Salchicha
1000,SALCHICHA TOBY PAVO KG,Salchicha
800,SALCHICHA XICO ASAR 800G,Salchicha
1000,SALCHICHA XICO PARA ASAR KG,Salchicha
1000,SALCHICHA XICO PAVO HOT DOG KG,Salchicha
1000,SALCHICHA XICO VIENA KG,Salchicha
1000,SALCHICHAS XICO JUMBO PAVO KG,Salchicha
1000,TOCINO AHUMADO 1KG,Tocino
1000,XICO PAVO AHUMADO,Otro
1000,XICO RECORTE DE JAMON,Jamón
1000,XICO RECORTE DE SALCHICHA,Salchicha
1000,XICO RECORTE DE SALCHICHA PARA ASAR,Salchicha
1000,XICO SALAMI AHUMADO REBANADO,Salami
1000,XICO VARIEDAD DE CARNES FRIAS,Carne
